survey id,# replicates surveyed,grid cell label,start date,observation,replicate #
SumatraSurvey10,29,S25E04,1/6/2007,0,1
SumatraSurvey10,24,S25E05,1/4/2007,1,1
SumatraSurvey10,24,S25E05,1/4/2007,1,24
SumatraSurvey10,33,S26E05,2/4/2007,1,26
SumatraSurvey10,29,S26E06,7/28/2007,0,1
SumatraSurvey10,18,S26E07,3/8/2007,1,4
SumatraSurvey10,16,S26E11,6/10/2007,0,1
SumatraSurvey10,35,S27E05,4/15/2007,1,7
SumatraSurvey10,28,S27E06,4/18/2007,1,24
SumatraSurvey10,28,S27E06,4/18/2007,1,25
SumatraSurvey10,28,S27E06,4/18/2007,1,26
SumatraSurvey10,46,S27E07,10/8/2007,1,6
SumatraSurvey10,10,S27E08,4/15/2007,1,7
SumatraSurvey10,19,S27E10,8/20/2007,0,1
SumatraSurvey10,21,S27E11,9/27/2007,0,1
SumatraSurvey10,7,S28E06,11/5/2007,1,6
SumatraSurvey10,23,S28E07,6/5/2007,0,1
SumatraSurvey10,28,S28E08,5/26/2007,0,1
SumatraSurvey10,37,S28E09,4/9/2007,0,1
SumatraSurvey10,37,S28E10,9/15/2007,0,1
SumatraSurvey10,22,S28E11,9/24/2007,0,1
SumatraSurvey10,9,S28E12,10/24/2007,0,1
SumatraSurvey10,41,S28E13,10/25/2007,0,1
