project ID,deployment ID ,observation date/time,# adult males,# adult  females,# adults sex unknown,# Subadults (either sex - 1-2 years old),# cubs (either sex - 1-12 month old),,,,,,
BBSNP2015,BBS-2015-Loc-1,7/30/2015 11:00,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-1,7/30/2015 11:00,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-1,7/30/2015 11:00,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-1,9/23/2015 6:19,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-1,9/23/2015 8:10,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-2,6/6/2015 2:26,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-2,6/6/2015 2:26,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-2,8/21/2015 6:25,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-2,8/21/2015 6:29,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-2,9/23/2015 16:03,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-2,9/23/2015 16:06,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-3,6/5/2015 7:06,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-3,6/5/2015 7:06,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-3,7/20/2015 7:58,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-3,7/20/2015 7:59,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-3,9/12/2015 12:03,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-3,9/12/2015 12:03,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-3,9/12/2015 12:04,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-6,6/26/2015 7:42,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-7,6/5/2015 6:09,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-7,6/5/2015 6:09,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-7,6/28/2015 3:57,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-7,6/28/2015 3:58,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-7,7/20/2015 6:16,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-7,8/26/2015 23:37,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-7,8/26/2015 23:37,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-10,8/20/2015 13:04,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-10,8/20/2015 13:04,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-10,8/20/2015 13:04,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-15,6/25/2015 16:37,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-15,6/25/2015 16:38,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-15,6/25/2015 16:38,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-15,6/25/2015 16:38,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-15,6/25/2015 16:38,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-15,6/25/2015 16:38,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-16,8/21/2015 8:01,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-18,8/9/2015 6:00,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-18,8/9/2015 6:01,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-20,6/25/2015 13:21,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-20,6/25/2015 13:21,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-20,7/19/2015 12:00,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-20,7/19/2015 12:00,,1,,,,,,,,,
