survey id,# replicates surveyed,grid cell label,start date,observation,replicate #
SumatraSurvey10,40,N01E04,1/1/2008,0,1
SumatraSurvey10,45,N04W05,1/1/2008,0,1
SumatraSurvey10,42,N04W06,1/1/2008,0,1
SumatraSurvey10,82,N05W05,1/1/2008,0,1
SumatraSurvey10,36,N05W06,1/1/2008,0,1
SumatraSurvey10,9,N06W02,1/1/2008,0,1
SumatraSurvey10,36,N07W02,1/1/2008,0,1
SumatraSurvey10,48,N07W03,1/1/2008,0,1
SumatraSurvey10,28,N07W04,1/1/2008,0,1
SumatraSurvey10,54,N07W06,1/1/2008,0,1
SumatraSurvey10,40,N07W07,1/1/2008,0,1
SumatraSurvey10,32,N07W11,1/1/2008,0,1
SumatraSurvey10,63,N08W04,1/1/2008,0,1
SumatraSurvey10,35,N08W06,1/1/2008,0,1
SumatraSurvey10,41,N08W07,1/1/2008,0,1
SumatraSurvey10,45,N08W08,1/1/2008,0,1
SumatraSurvey10,33,N09W06,1/1/2008,0,1
SumatraSurvey10,17,N09W09,1/1/2008,0,1
SumatraSurvey10,53,N10W06,1/1/2008,0,1
SumatraSurvey10,29,N16W28,2/12/2008,1,21
SumatraSurvey10,29,N16W28,2/12/2008,1,23
SumatraSurvey10,29,N16W28,2/12/2008,1,24
SumatraSurvey10,29,N16W28,2/12/2008,1,25
SumatraSurvey10,29,N16W29,8/23/2008,0,1
SumatraSurvey10,35,N17W28,2/11/2008,0,1
SumatraSurvey10,10,N17W29,11/14/2008,0,1
SumatraSurvey10,29,N18W28,11/26/2008,1,3
SumatraSurvey10,22,N18W29,11/11/2008,0,1
SumatraSurvey10,38,N19W26,10/24/2008,0,1
SumatraSurvey10,34,N19W27,3/1/2008,0,1
SumatraSurvey10,37,N19W28,5/8/2008,1,5
SumatraSurvey10,37,N19W28,5/8/2008,1,6
SumatraSurvey10,37,N19W28,5/8/2008,1,16
SumatraSurvey10,37,N19W28,5/8/2008,1,18
SumatraSurvey10,37,N19W28,5/8/2008,1,19
SumatraSurvey10,37,N19W28,5/8/2008,1,26
SumatraSurvey10,41,N19W29,3/15/2008,0,1
SumatraSurvey10,28,N20W26,2/22/2008,0,1
SumatraSurvey10,30,N20W27,7/10/2008,1,25
SumatraSurvey10,39,N20W28,11/4/2007,1,1
SumatraSurvey10,39,N20W28,11/4/2007,1,2
SumatraSurvey10,39,N20W28,11/4/2007,1,3
SumatraSurvey10,39,N20W28,11/4/2007,1,13
SumatraSurvey10,39,N20W28,11/4/2007,1,25
SumatraSurvey10,39,N20W28,11/4/2007,1,34
SumatraSurvey10,39,N20W28,11/4/2007,1,35
SumatraSurvey10,27,N20W29,11/3/2007,1,1
SumatraSurvey10,27,N20W29,11/3/2007,1,8
SumatraSurvey10,36,N20W30,9/28/2007,1,23
SumatraSurvey10,36,N20W30,9/28/2007,1,24
SumatraSurvey10,36,N20W30,9/28/2007,1,25
SumatraSurvey10,36,N20W30,9/28/2007,1,26
SumatraSurvey10,36,N20W30,9/28/2007,1,28
SumatraSurvey10,43,N20W31,9/1/2007,0,1
SumatraSurvey10,33,N21W24,3/10/2008,0,1
SumatraSurvey10,25,N21W25,9/7/2008,0,1
SumatraSurvey10,29,N21W26,3/11/2008,0,1
SumatraSurvey10,33,N21W27,12/1/2007,0,1
SumatraSurvey10,43,N21W28,1/27/2008,0,1
SumatraSurvey10,31,N21W29,1/30/2008,1,18
SumatraSurvey10,31,N21W29,1/30/2008,1,19
SumatraSurvey10,34,N21W30,8/27/2007,1,4
SumatraSurvey10,34,N21W30,8/27/2007,1,14
SumatraSurvey10,34,N21W30,8/27/2007,1,15
SumatraSurvey10,34,N21W30,8/27/2007,1,21
SumatraSurvey10,34,N21W30,8/27/2007,1,27
SumatraSurvey10,29,N21W31,4/27/2008,1,27
SumatraSurvey10,29,N21W31,4/27/2008,1,28
SumatraSurvey10,20,N22W23,3/27/2008,0,1
SumatraSurvey10,37,N22W24,3/27/2008,0,1
SumatraSurvey10,36,N22W25,9/27/2007,1,5
SumatraSurvey10,36,N22W25,9/27/2007,1,11
SumatraSurvey10,31,N22W26,9/18/2007,0,1
SumatraSurvey10,20,N22W27,11/29/2007,0,1
SumatraSurvey10,42,N22W28,1/1/2008,0,1
SumatraSurvey10,25,N22W29,12/6/2007,0,1
SumatraSurvey10,44,N22W30,7/24/2007,1,5
SumatraSurvey10,44,N22W30,7/24/2007,1,6
SumatraSurvey10,44,N22W30,7/24/2007,1,18
SumatraSurvey10,44,N22W30,7/24/2007,1,19
SumatraSurvey10,29,N22W31,6/19/2007,0,1
SumatraSurvey10,22,N22W32,1/25/2008,0,1
SumatraSurvey10,46,N23W25,8/10/2008,0,1
SumatraSurvey10,27,N23W26,9/16/2007,0,1
SumatraSurvey10,34,N23W27,11/5/2007,1,18
SumatraSurvey10,34,N23W27,11/5/2007,1,19
SumatraSurvey10,37,N23W28,11/5/2007,1,9
SumatraSurvey10,29,N23W29,12/7/2007,1,3
SumatraSurvey10,29,N23W29,12/7/2007,1,8
SumatraSurvey10,29,N23W29,12/7/2007,1,14
SumatraSurvey10,29,N23W29,12/7/2007,1,15
SumatraSurvey10,29,N23W29,12/7/2007,1,22
SumatraSurvey10,26,N23W31,3/16/2008,1,6
SumatraSurvey10,26,N23W31,3/16/2008,1,10
SumatraSurvey10,32,N23W32,6/24/2007,1,1
SumatraSurvey10,32,N23W32,6/24/2007,1,14
SumatraSurvey10,32,N23W32,6/24/2007,1,16
SumatraSurvey10,32,N23W32,6/24/2007,1,23
SumatraSurvey10,32,N23W32,6/24/2007,1,27
SumatraSurvey10,32,N23W32,6/24/2007,1,29
SumatraSurvey10,8,N23W33,1/26/2008,0,1
SumatraSurvey10,17,N24W26,9/17/2007,0,1
SumatraSurvey10,18,N24W27,12/6/2007,1,3
SumatraSurvey10,18,N24W27,12/6/2007,1,5
SumatraSurvey10,35,N24W28,1/1/2008,0,1
SumatraSurvey10,34,N24W29,11/4/2007,0,1
SumatraSurvey10,15,N24W30,2/4/2008,0,1
SumatraSurvey10,35,N24W31,2/1/2008,0,1
SumatraSurvey10,30,N24W32,2/1/2008,1,24
SumatraSurvey10,30,N24W32,2/1/2008,1,25
SumatraSurvey10,30,N24W33,7/25/2007,1,3
SumatraSurvey10,13,N24W34,9/14/2008,0,1
SumatraSurvey10,24,N25W26,8/11/2007,1,2
SumatraSurvey10,39,N25W27,8/11/2007,1,10
SumatraSurvey10,11,N25W28,6/9/2007,1,1
SumatraSurvey10,11,N25W28,6/9/2007,1,2
SumatraSurvey10,11,N25W28,6/9/2007,1,4
SumatraSurvey10,11,N25W28,6/9/2007,1,6
SumatraSurvey10,11,N25W28,6/9/2007,1,10
SumatraSurvey10,16,N25W29,5/11/2007,0,1
SumatraSurvey10,24,N25W30,5/5/2007,1,6
SumatraSurvey10,24,N25W30,5/5/2007,1,23
SumatraSurvey10,5,N25W31,6/1/2007,0,1
SumatraSurvey10,39,N25W33,8/29/2007,1,17
SumatraSurvey10,39,N25W34,8/30/2007,1,6
SumatraSurvey10,39,N25W34,8/30/2007,1,14
SumatraSurvey10,39,N25W34,8/30/2007,1,19
SumatraSurvey10,39,N25W34,8/30/2007,1,25
SumatraSurvey10,39,N25W34,8/30/2007,1,27
SumatraSurvey10,26,N25W35,1/1/2008,0,1
SumatraSurvey10,18,N25W36,1/1/2008,0,1
SumatraSurvey10,16,N25W37,7/12/2008,0,1
SumatraSurvey10,25,N26W25,7/16/2008,0,1
SumatraSurvey10,44,N26W26,8/9/2007,1,32
SumatraSurvey10,44,N26W26,8/9/2007,1,34
SumatraSurvey10,28,N26W27,8/9/2007,0,1
SumatraSurvey10,22,N26W28,6/20/2007,1,1
SumatraSurvey10,12,N26W29,5/15/2007,0,1
SumatraSurvey10,12,N26W30,5/3/2007,0,1
SumatraSurvey10,22,N26W31,6/19/2007,0,1
SumatraSurvey10,37,N26W32,7/3/2007,0,1
SumatraSurvey10,38,N26W33,7/26/2007,0,1
SumatraSurvey10,40,N26W34,7/23/2007,0,1
SumatraSurvey10,43,N26W35,1/1/2008,1,4
SumatraSurvey10,43,N26W35,1/1/2008,1,32
SumatraSurvey10,43,N26W35,1/1/2008,1,34
SumatraSurvey10,43,N26W35,1/1/2008,1,35
SumatraSurvey10,43,N26W35,1/1/2008,1,37
SumatraSurvey10,16,N26W36,1/1/2008,0,1
SumatraSurvey10,24,N26W37,1/1/2008,1,13
SumatraSurvey10,24,N26W37,1/1/2008,1,20
SumatraSurvey10,24,N26W37,1/1/2008,1,23
SumatraSurvey10,34,N27W27,4/22/2008,0,1
SumatraSurvey10,27,N27W28,12/3/2007,0,1
SumatraSurvey10,33,N27W29,1/1/2008,0,1
SumatraSurvey10,42,N27W30,1/1/2008,0,1
SumatraSurvey10,40,N27W31,1/1/2008,0,1
SumatraSurvey10,39,N27W32,1/1/2008,0,1
SumatraSurvey10,38,N27W33,10/20/2008,0,1
SumatraSurvey10,38,N27W34,2/5/2009,0,1
SumatraSurvey10,39,N27W35,1/1/2008,1,31
SumatraSurvey10,29,N27W36,1/1/2008,1,9
SumatraSurvey10,29,N27W36,1/1/2008,1,10
SumatraSurvey10,23,N28W27,4/20/2008,0,1
SumatraSurvey10,34,N28W28,4/5/2008,0,1
SumatraSurvey10,32,N28W29,1/1/2008,1,20
SumatraSurvey10,26,N28W30,1/1/2008,0,1
SumatraSurvey10,30,N28W31,1/1/2008,1,11
SumatraSurvey10,36,N28W32,7/29/2008,0,1
SumatraSurvey10,33,N28W34,2/5/2009,0,1
SumatraSurvey10,36,N28W36,2/4/2009,1,14
SumatraSurvey10,36,N28W36,2/4/2009,1,15
SumatraSurvey10,36,N28W36,2/4/2009,1,16
SumatraSurvey10,36,N28W36,2/4/2009,1,18
SumatraSurvey10,36,N28W36,2/4/2009,1,25
SumatraSurvey10,36,N28W36,2/4/2009,1,31
SumatraSurvey10,36,N28W36,2/4/2009,1,33
SumatraSurvey10,45,N28W37,1/1/2008,1,41
SumatraSurvey10,36,N29W27,4/23/2008,1,14
SumatraSurvey10,36,N29W27,4/23/2008,1,36
SumatraSurvey10,52,N29W28,4/23/2008,1,39
SumatraSurvey10,52,N29W28,4/23/2008,1,40
SumatraSurvey10,35,N29W29,4/23/2008,0,1
SumatraSurvey10,33,N29W31,1/1/2008,0,1
SumatraSurvey10,31,N29W32,9/15/2008,0,1
SumatraSurvey10,37,N29W34,5/15/2008,1,29
SumatraSurvey10,46,N29W35,5/21/2008,1,14
SumatraSurvey10,42,N29W36,7/12/2008,1,4
SumatraSurvey10,42,N29W36,7/12/2008,1,20
SumatraSurvey10,61,N29W37,10/19/2008,0,1
SumatraSurvey10,30,N29W38,1/1/2008,1,14
SumatraSurvey10,30,N29W38,1/1/2008,1,15
SumatraSurvey10,17,N30W28,4/23/2008,1,7
SumatraSurvey10,17,N30W28,4/23/2008,1,8
SumatraSurvey10,28,N30W29,4/23/2008,1,2
SumatraSurvey10,28,N30W29,4/23/2008,1,13
SumatraSurvey10,28,N30W30,1/1/2008,0,1
SumatraSurvey10,28,N30W31,1/1/2008,1,1
SumatraSurvey10,28,N30W31,1/1/2008,1,2
SumatraSurvey10,28,N30W31,1/1/2008,1,3
SumatraSurvey10,35,N30W32,1/1/2008,0,1
SumatraSurvey10,26,N30W33,1/1/2008,0,1
SumatraSurvey10,32,N30W36,1/1/2008,1,5
SumatraSurvey10,47,N30W37,11/20/2008,0,1
SumatraSurvey10,48,N30W38,1/1/2008,1,2
SumatraSurvey10,48,N30W38,1/1/2008,1,29
SumatraSurvey10,15,N30W39,1/1/2008,0,1
SumatraSurvey10,39,N30W40,1/1/2008,1,12
SumatraSurvey10,39,N30W40,1/1/2008,1,14
SumatraSurvey10,34,N31W29,1/1/2008,1,7
SumatraSurvey10,34,N31W29,1/1/2008,1,10
SumatraSurvey10,34,N31W29,1/1/2008,1,13
SumatraSurvey10,34,N31W29,1/1/2008,1,17
SumatraSurvey10,34,N31W29,1/1/2008,1,18
SumatraSurvey10,34,N31W29,1/1/2008,1,19
SumatraSurvey10,34,N31W29,1/1/2008,1,21
SumatraSurvey10,34,N31W29,1/1/2008,1,24
SumatraSurvey10,37,N31W30,1/1/2008,0,1
SumatraSurvey10,37,N31W31,1/1/2008,0,1
SumatraSurvey10,39,N31W32,1/1/2008,1,9
SumatraSurvey10,22,N31W33,2/15/2009,0,1
SumatraSurvey10,24,N31W34,1/1/2008,0,1
SumatraSurvey10,26,N31W36,1/1/2008,1,6
SumatraSurvey10,27,N31W37,1/1/2008,0,1
SumatraSurvey10,27,N31W38,1/1/2008,1,3
SumatraSurvey10,27,N31W38,1/1/2008,1,22
SumatraSurvey10,26,N31W39,1/1/2008,1,26
SumatraSurvey10,38,N31W40,1/1/2008,1,22
SumatraSurvey10,52,N31W41,1/1/2008,1,5
SumatraSurvey10,52,N31W41,1/1/2008,1,10
SumatraSurvey10,52,N31W41,1/1/2008,1,32
SumatraSurvey10,28,N31W42,1/1/2008,0,1
SumatraSurvey10,20,N32W31,1/1/2008,1,11
SumatraSurvey10,20,N32W31,1/1/2008,1,15
SumatraSurvey10,20,N32W31,1/1/2008,1,19
SumatraSurvey10,50,N32W32,11/20/2008,1,29
SumatraSurvey10,50,N32W32,11/20/2008,1,30
SumatraSurvey10,38,N32W36,1/1/2008,0,1
SumatraSurvey10,23,N32W37,1/1/2008,1,1
SumatraSurvey10,25,N32W38,1/1/2008,1,9
SumatraSurvey10,25,N32W38,1/1/2008,1,22
SumatraSurvey10,19,N32W40,1/1/2008,0,1
SumatraSurvey10,41,N32W41,1/1/2008,0,1
SumatraSurvey10,22,N32W42,1/1/2008,0,1
SumatraSurvey10,19,N32W43,1/1/2008,1,4
SumatraSurvey10,28,N33W36,1/1/2008,1,16
SumatraSurvey10,33,N33W38,1/1/2008,1,4
SumatraSurvey10,33,N33W38,1/1/2008,1,18
SumatraSurvey10,38,N33W39,1/1/2008,1,1
SumatraSurvey10,38,N33W39,1/1/2008,1,7
SumatraSurvey10,38,N33W39,1/1/2008,1,8
SumatraSurvey10,38,N33W39,1/1/2008,1,9
SumatraSurvey10,38,N33W39,1/1/2008,1,10
SumatraSurvey10,38,N33W39,1/1/2008,1,11
SumatraSurvey10,38,N33W39,1/1/2008,1,17
SumatraSurvey10,38,N33W39,1/1/2008,1,18
SumatraSurvey10,23,N33W40,1/1/2008,1,1
SumatraSurvey10,23,N33W40,1/1/2008,1,4
SumatraSurvey10,28,N33W41,1/1/2008,1,8
SumatraSurvey10,28,N33W41,1/1/2008,1,14
SumatraSurvey10,31,N33W42,1/1/2008,1,14
SumatraSurvey10,31,N33W42,1/1/2008,1,15
SumatraSurvey10,31,N33W42,1/1/2008,1,16
SumatraSurvey10,31,N33W42,1/1/2008,1,17
SumatraSurvey10,31,N33W42,1/1/2008,1,20
SumatraSurvey10,31,N33W42,1/1/2008,1,24
SumatraSurvey10,13,N33W43,1/1/2008,0,1
SumatraSurvey10,37,N33W44,1/1/2008,1,14
SumatraSurvey10,37,N33W44,1/1/2008,1,15
SumatraSurvey10,21,N34W36,1/1/2008,0,1
SumatraSurvey10,39,N34W37,1/1/2008,1,22
SumatraSurvey10,28,N34W38,1/1/2008,1,2
SumatraSurvey10,28,N34W38,1/1/2008,1,16
SumatraSurvey10,30,N34W39,1/1/2008,0,1
SumatraSurvey10,29,N34W40,1/1/2008,1,10
SumatraSurvey10,29,N34W40,1/1/2008,1,11
SumatraSurvey10,29,N34W40,1/1/2008,1,13
SumatraSurvey10,36,N34W42,1/1/2008,1,2
SumatraSurvey10,36,N34W42,1/1/2008,1,21
SumatraSurvey10,21,N34W44,1/1/2008,1,10
SumatraSurvey10,33,N35W41,1/1/2008,1,18
SumatraSurvey10,33,N35W41,1/1/2008,1,19
SumatraSurvey10,33,N35W41,1/1/2008,1,20
SumatraSurvey10,36,N35W42,1/1/2008,1,13
SumatraSurvey10,36,N35W42,1/1/2008,1,18
SumatraSurvey10,33,N35W43,1/1/2008,1,9
SumatraSurvey10,30,N36W41,1/1/2008,0,1
SumatraSurvey10,35,N36W42,1/1/2008,0,1
SumatraSurvey10,22,N36W43,1/1/2008,1,11
SumatraSurvey10,22,N36W43,1/1/2008,1,13
SumatraSurvey10,30,N36W44,1/1/2008,0,1
SumatraSurvey10,40,S01E04,1/1/2008,1,35
SumatraSurvey10,40,S01W02,1/1/2008,0,1
SumatraSurvey10,40,S01W03,1/1/2008,0,1
SumatraSurvey10,40,S02E04,1/1/2008,1,21
SumatraSurvey10,40,S02E04,1/1/2008,1,22
SumatraSurvey10,40,S02E04,1/1/2008,1,25
SumatraSurvey10,40,S02E04,1/1/2008,1,28
SumatraSurvey10,40,S02E04,1/1/2008,1,30
SumatraSurvey10,40,S02W01,1/1/2008,1,15
SumatraSurvey10,40,S02W01,1/1/2008,1,16
SumatraSurvey10,40,S02W01,1/1/2008,1,17
SumatraSurvey10,40,S02W01,1/1/2008,1,18
SumatraSurvey10,40,S02W01,1/1/2008,1,21
SumatraSurvey10,40,S02W01,1/1/2008,1,23
SumatraSurvey10,40,S02W01,1/1/2008,1,24
SumatraSurvey10,40,S02W01,1/1/2008,1,25
SumatraSurvey10,40,S02W01,1/1/2008,1,30
SumatraSurvey10,40,S02W01,1/1/2008,1,31
SumatraSurvey10,40,S02W01,1/1/2008,1,37
SumatraSurvey10,40,S02W01,1/1/2008,1,38
SumatraSurvey10,40,S02W01,1/1/2008,1,39
SumatraSurvey10,40,S02W01,1/1/2008,1,40
SumatraSurvey10,40,S02W02,1/1/2008,0,1
SumatraSurvey10,40,S02W06,1/1/2008,1,4
SumatraSurvey10,40,S02W06,1/1/2008,1,25
SumatraSurvey10,40,S02W06,1/1/2008,1,31
SumatraSurvey10,40,S02W07,1/1/2008,1,6
SumatraSurvey10,40,S02W08,1/1/2008,0,1
SumatraSurvey10,40,S03W05,1/1/2008,1,3
SumatraSurvey10,40,S03W05,1/1/2008,1,37
SumatraSurvey10,40,S03W06,1/1/2008,1,3
SumatraSurvey10,40,S03W06,1/1/2008,1,4
SumatraSurvey10,40,S03W06,1/1/2008,1,10
SumatraSurvey10,40,S03W06,1/1/2008,1,13
SumatraSurvey10,40,S03W06,1/1/2008,1,25
SumatraSurvey10,40,S03W06,1/1/2008,1,36
SumatraSurvey10,40,S04W05,1/1/2008,1,1
SumatraSurvey10,40,S04W05,1/1/2008,1,2
SumatraSurvey10,40,S04W05,1/1/2008,1,6
SumatraSurvey10,40,S04W05,1/1/2008,1,10
SumatraSurvey10,40,S04W05,1/1/2008,1,15
SumatraSurvey10,40,S04W05,1/1/2008,1,16
SumatraSurvey10,40,S04W05,1/1/2008,1,18
SumatraSurvey10,40,S04W05,1/1/2008,1,27
SumatraSurvey10,40,S04W05,1/1/2008,1,36
SumatraSurvey10,52,S04W06,1/1/2008,1,9
SumatraSurvey10,52,S04W06,1/1/2008,1,17
SumatraSurvey10,52,S04W06,1/1/2008,1,21
SumatraSurvey10,52,S04W06,1/1/2008,1,22
SumatraSurvey10,52,S04W06,1/1/2008,1,23
SumatraSurvey10,52,S04W06,1/1/2008,1,40
SumatraSurvey10,40,S05W04,1/1/2008,1,19
SumatraSurvey10,40,S05W04,1/1/2008,1,20
SumatraSurvey10,20,S05W05,1/1/2008,1,1
SumatraSurvey10,20,S05W05,1/1/2008,1,17
SumatraSurvey10,33,S05W06,1/1/2008,0,1
SumatraSurvey10,20,S05W07,1/1/2008,0,1
SumatraSurvey10,40,S06E01,1/1/2008,1,16
SumatraSurvey10,40,S06E01,1/1/2008,1,25
SumatraSurvey10,40,S06E01,1/1/2008,1,38
SumatraSurvey10,85,S06E02,1/1/2008,1,10
SumatraSurvey10,85,S06E02,1/1/2008,1,32
SumatraSurvey10,85,S06E02,1/1/2008,1,51
SumatraSurvey10,67,S06E03,1/1/2008,1,3
SumatraSurvey10,67,S06E03,1/1/2008,1,6
SumatraSurvey10,67,S06E03,1/1/2008,1,10
SumatraSurvey10,67,S06E03,1/1/2008,1,16
SumatraSurvey10,67,S06E03,1/1/2008,1,17
SumatraSurvey10,67,S06E03,1/1/2008,1,28
SumatraSurvey10,67,S06E03,1/1/2008,1,29
SumatraSurvey10,40,S06W01,1/1/2008,0,1
SumatraSurvey10,40,S06W03,1/1/2008,0,1
SumatraSurvey10,40,S06W04,1/1/2008,0,1
SumatraSurvey10,11,S06W05,1/1/2008,0,1
SumatraSurvey10,11,S06W06,1/1/2008,1,7
SumatraSurvey10,11,S06W06,1/1/2008,1,10
SumatraSurvey10,27,S06W07,1/1/2008,1,1
SumatraSurvey10,27,S06W07,1/1/2008,1,2
SumatraSurvey10,27,S06W07,1/1/2008,1,4
SumatraSurvey10,27,S06W07,1/1/2008,1,6
SumatraSurvey10,16,S06W08,1/1/2008,0,1
SumatraSurvey10,40,S07E01,1/1/2008,1,37
SumatraSurvey10,96,S07E02,1/1/2008,1,37
SumatraSurvey10,96,S07E02,1/1/2008,1,66
SumatraSurvey10,96,S07E02,1/1/2008,1,78
SumatraSurvey10,40,S07E03,1/1/2008,1,28
SumatraSurvey10,40,S07E04,1/1/2008,1,4
SumatraSurvey10,40,S07E04,1/1/2008,1,9
SumatraSurvey10,40,S07E04,1/1/2008,1,12
SumatraSurvey10,40,S07E04,1/1/2008,1,31
SumatraSurvey10,40,S07W01,1/1/2008,0,1
SumatraSurvey10,9,S07W04,1/1/2008,0,1
SumatraSurvey10,8,S07W05,1/1/2008,0,1
SumatraSurvey10,28,S07W06,1/1/2008,1,1
SumatraSurvey10,28,S07W06,1/1/2008,1,17
SumatraSurvey10,43,S07W07,1/1/2008,0,1
SumatraSurvey10,26,S07W08,1/1/2008,0,1
SumatraSurvey10,13,S07W09,1/1/2008,0,1
SumatraSurvey10,7,S07W10,1/1/2008,0,1
SumatraSurvey10,98,S08E03,1/1/2008,0,1
SumatraSurvey10,40,S08E04,1/1/2008,1,10
SumatraSurvey10,40,S08E04,1/1/2008,1,11
SumatraSurvey10,40,S08E05,1/1/2008,1,3
SumatraSurvey10,40,S08E05,1/1/2008,1,5
SumatraSurvey10,40,S08E05,1/1/2008,1,6
SumatraSurvey10,40,S08E05,1/1/2008,1,10
SumatraSurvey10,40,S08E05,1/1/2008,1,11
SumatraSurvey10,40,S08E05,1/1/2008,1,15
SumatraSurvey10,40,S08E05,1/1/2008,1,16
SumatraSurvey10,40,S08E05,1/1/2008,1,32
SumatraSurvey10,40,S08E05,1/1/2008,1,35
SumatraSurvey10,40,S08E05,1/1/2008,1,37
SumatraSurvey10,40,S08E06,1/1/2008,1,6
SumatraSurvey10,40,S08E06,1/1/2008,1,21
SumatraSurvey10,8,S08W03,1/1/2008,0,1
SumatraSurvey10,44,S08W04,1/1/2008,1,1
SumatraSurvey10,44,S08W04,1/1/2008,1,34
SumatraSurvey10,44,S08W04,1/1/2008,1,38
SumatraSurvey10,31,S08W05,1/1/2008,1,1
SumatraSurvey10,60,S08W06,1/1/2008,1,1
SumatraSurvey10,60,S08W06,1/1/2008,1,32
SumatraSurvey10,60,S08W06,1/1/2008,1,33
SumatraSurvey10,60,S08W06,1/1/2008,1,34
SumatraSurvey10,60,S08W06,1/1/2008,1,36
SumatraSurvey10,60,S08W06,1/1/2008,1,56
SumatraSurvey10,56,S08W07,1/1/2008,1,1
SumatraSurvey10,56,S08W07,1/1/2008,1,37
SumatraSurvey10,56,S08W07,1/1/2008,1,38
SumatraSurvey10,56,S08W07,1/1/2008,1,39
SumatraSurvey10,15,S08W08,1/1/2008,0,1
SumatraSurvey10,54,S08W09,1/1/2008,1,10
SumatraSurvey10,54,S08W09,1/1/2008,1,15
