field_1,gridcode,lat,lon
99,S35E14,-5.26979,104.13328
100,S35E14,-5.26979,104.13328
112,S35E14,-5.27999,104.12263
58,S36E15,-5.38932,104.25299
101,S36E15,-5.40518,104.20889
102,S36E15,-5.40518,104.20889
103,S36E15,-5.40518,104.20889
104,S36E15,-5.40518,104.20889
105,S36E15,-5.39327,104.25533
106,S36E15,-5.39327,104.25533
107,S36E15,-5.39327,104.25533
108,S36E15,-5.39618,104.28305
113,S36E15,-5.42576,104.26517
114,S36E15,-5.41582,104.28161
115,S36E15,-5.41582,104.28161
116,S36E15,-5.41582,104.28161
117,S36E15,-5.41582,104.28161
118,S36E15,-5.41582,104.28161
119,S36E15,-5.41582,104.28161
1,S35E15,-5.24185,104.20230
2,S35E15,-5.24185,104.20230
3,S35E15,-5.24185,104.20230
4,S35E15,-5.24185,104.20230
5,S35E15,-5.24185,104.20230
6,S35E15,-5.25771,104.14871
7,S35E15,-5.25771,104.14871
8,S35E15,-5.25771,104.14871
9,S35E15,-5.25771,104.14871
10,S35E15,-5.25771,104.14871
11,S35E15,-5.25771,104.14871
12,S35E15,-5.26912,104.17408
13,S35E15,-5.26912,104.17408
14,S35E15,-5.26912,104.17408
15,S35E15,-5.26912,104.17408
16,S35E15,-5.26912,104.17408
17,S35E15,-5.26912,104.17408
18,S35E15,-5.26912,104.17408
19,S35E15,-5.25759,104.21226
20,S35E15,-5.26856,104.22290
21,S35E15,-5.27936,104.15617
22,S35E15,-5.28298,104.16999
23,S35E15,-5.28298,104.16999
24,S35E15,-5.28298,104.16999
25,S35E15,-5.28298,104.16999
26,S35E15,-5.28298,104.16999
27,S35E15,-5.28298,104.16999
28,S35E15,-5.28298,104.16999
29,S35E15,-5.28877,104.20600
30,S35E15,-5.28444,104.23740
31,S35E15,-5.29627,104.26159
32,S35E15,-5.29627,104.26159
33,S35E15,-5.29627,104.26159
34,S35E15,-5.32426,104.14630
35,S35E15,-5.31840,104.17777
36,S35E15,-5.31207,104.19738
37,S35E15,-5.31207,104.19738
38,S35E15,-5.31207,104.19738
39,S35E15,-5.31207,104.19738
