survey id,# replicates surveyed,grid cell label,start date,observation,replicate #,sumatragridmrgd2_centroids_srtm_srtm_1,sumatragridmrgd2_centroids_hii_hii_1
SumatraSurvey10,"40",N01E04,1/1/2008,"0","1",32.000000000000000,1.001931071281433
SumatraSurvey10,"45",N04W05,1/1/2008,"0","1",32.000000000000000,15.396131515502930
SumatraSurvey10,"42",N04W06,1/1/2008,"0","1",24.000000000000000,4.262555599212646
SumatraSurvey10,"82",N05W05,1/1/2008,"0","1",37.000000000000000,4.316072940826416
SumatraSurvey10,"36",N05W06,1/1/2008,"0","1",25.000000000000000,16.436727523803711
SumatraSurvey10,"9",N06W02,1/1/2008,"0","1",22.000000000000000,2.286633491516113
SumatraSurvey10,"36",N07W02,1/1/2008,"0","1",17.000000000000000,0.000000000000000
SumatraSurvey10,"48",N07W03,1/1/2008,"0","1",41.000000000000000,9.001442909240723
SumatraSurvey10,"28",N07W04,1/1/2008,"0","1",27.000000000000000,3.000043153762817
SumatraSurvey10,"54",N07W06,1/1/2008,"0","1",13.000000000000000,14.259295463562012
SumatraSurvey10,"40",N07W07,1/1/2008,"0","1",43.000000000000000,4.526984214782715
SumatraSurvey10,"32",N07W11,1/1/2008,"0","1",48.000000000000000,12.252104759216309
SumatraSurvey10,"63",N08W04,1/1/2008,"0","1",31.000000000000000,5.000000000000000
SumatraSurvey10,"35",N08W06,1/1/2008,"0","1",24.000000000000000,15.250246047973633
SumatraSurvey10,"41",N08W07,1/1/2008,"0","1",38.000000000000000,6.000000000000000
SumatraSurvey10,"45",N08W08,1/1/2008,"0","1",37.000000000000000,3.000000000000000
SumatraSurvey10,"33",N09W06,1/1/2008,"0","1",45.000000000000000,23.318683624267578
SumatraSurvey10,"17",N09W09,1/1/2008,"0","1",24.000000000000000,3.000000000000000
SumatraSurvey10,"53",N10W06,1/1/2008,"0","1",11.000000000000000,4.757507324218750
SumatraSurvey10,"29",N16W28,2/12/2008,"1","21",11.000000000000000,5.159883975982666
SumatraSurvey10,"29",N16W28,2/12/2008,"1","23",11.000000000000000,5.159883975982666
SumatraSurvey10,"29",N16W28,2/12/2008,"1","24",11.000000000000000,5.159883975982666
SumatraSurvey10,"29",N16W28,2/12/2008,"1","25",11.000000000000000,5.159883975982666
SumatraSurvey10,"29",N16W29,8/23/2008,"0","1",0.000000000000000,nan
SumatraSurvey10,"35",N17W28,2/11/2008,"0","1",26.000000000000000,4.563805103302002
SumatraSurvey10,"10",N17W29,11/14/2008,"0","1",0.000000000000000,nan
SumatraSurvey10,"29",N18W28,11/26/2008,"1","3",34.000000000000000,13.313792228698730
SumatraSurvey10,"22",N18W29,11/11/2008,"0","1",0.000000000000000,nan
SumatraSurvey10,"38",N19W26,10/24/2008,"0","1",547.000000000000000,14.250005722045898
SumatraSurvey10,"34",N19W27,3/1/2008,"0","1",108.000000000000000,3.159884214401245
SumatraSurvey10,"37",N19W28,5/8/2008,"1","5",22.000000000000000,11.441025733947754
SumatraSurvey10,"37",N19W28,5/8/2008,"1","6",22.000000000000000,11.441025733947754
SumatraSurvey10,"37",N19W28,5/8/2008,"1","16",22.000000000000000,11.441025733947754
SumatraSurvey10,"37",N19W28,5/8/2008,"1","18",22.000000000000000,11.441025733947754
SumatraSurvey10,"37",N19W28,5/8/2008,"1","19",22.000000000000000,11.441025733947754
SumatraSurvey10,"37",N19W28,5/8/2008,"1","26",22.000000000000000,11.441025733947754
SumatraSurvey10,"41",N19W29,3/15/2008,"0","1",19.000000000000000,13.669785499572754
SumatraSurvey10,"28",N20W26,2/22/2008,"0","1",459.000000000000000,13.526984214782715
SumatraSurvey10,"30",N20W27,7/10/2008,"1","25",296.000000000000000,8.000000000000000
SumatraSurvey10,"39",N20W28,11/4/2007,"1","1",215.000000000000000,2.250031471252441
SumatraSurvey10,"39",N20W28,11/4/2007,"1","2",215.000000000000000,2.250031471252441
SumatraSurvey10,"39",N20W28,11/4/2007,"1","3",215.000000000000000,2.250031471252441
SumatraSurvey10,"39",N20W28,11/4/2007,"1","13",215.000000000000000,2.250031471252441
SumatraSurvey10,"39",N20W28,11/4/2007,"1","25",215.000000000000000,2.250031471252441
SumatraSurvey10,"39",N20W28,11/4/2007,"1","34",215.000000000000000,2.250031471252441
SumatraSurvey10,"39",N20W28,11/4/2007,"1","35",215.000000000000000,2.250031471252441
SumatraSurvey10,"27",N20W29,11/3/2007,"1","1",639.000000000000000,5.250284671783447
SumatraSurvey10,"27",N20W29,11/3/2007,"1","8",639.000000000000000,5.250284671783447
SumatraSurvey10,"36",N20W30,9/28/2007,"1","23",28.000000000000000,6.259810447692871
SumatraSurvey10,"36",N20W30,9/28/2007,"1","24",28.000000000000000,6.259810447692871
SumatraSurvey10,"36",N20W30,9/28/2007,"1","25",28.000000000000000,6.259810447692871
SumatraSurvey10,"36",N20W30,9/28/2007,"1","26",28.000000000000000,6.259810447692871
SumatraSurvey10,"36",N20W30,9/28/2007,"1","28",28.000000000000000,6.259810447692871
SumatraSurvey10,"43",N20W31,9/1/2007,"0","1",0.000000000000000,nan
SumatraSurvey10,"33",N21W24,3/10/2008,"0","1",1245.000000000000000,8.757507324218750
SumatraSurvey10,"25",N21W25,9/7/2008,"0","1",800.000000000000000,13.681485176086426
SumatraSurvey10,"29",N21W26,3/11/2008,"0","1",1079.000000000000000,6.415075778961182
SumatraSurvey10,"33",N21W27,12/1/2007,"0","1",736.000000000000000,4.303442955017090
SumatraSurvey10,"43",N21W28,1/27/2008,"0","1",1166.000000000000000,3.002988576889038
SumatraSurvey10,"31",N21W29,1/30/2008,"1","18",1339.000000000000000,3.000000000000000
SumatraSurvey10,"31",N21W29,1/30/2008,"1","19",1339.000000000000000,3.000000000000000
SumatraSurvey10,"34",N21W30,8/27/2007,"1","4",560.000000000000000,5.251335144042969
SumatraSurvey10,"34",N21W30,8/27/2007,"1","14",560.000000000000000,5.251335144042969
SumatraSurvey10,"34",N21W30,8/27/2007,"1","15",560.000000000000000,5.251335144042969
SumatraSurvey10,"34",N21W30,8/27/2007,"1","21",560.000000000000000,5.251335144042969
SumatraSurvey10,"34",N21W30,8/27/2007,"1","27",560.000000000000000,5.251335144042969
SumatraSurvey10,"29",N21W31,4/27/2008,"1","27",357.000000000000000,13.752974510192871
SumatraSurvey10,"29",N21W31,4/27/2008,"1","28",357.000000000000000,13.752974510192871
SumatraSurvey10,"20",N22W23,3/27/2008,"0","1",689.000000000000000,15.000000000000000
SumatraSurvey10,"37",N22W24,3/27/2008,"0","1",804.000000000000000,13.000000000000000
SumatraSurvey10,"36",N22W25,9/27/2007,"1","5",659.000000000000000,4.000000000000000
SumatraSurvey10,"36",N22W25,9/27/2007,"1","11",659.000000000000000,4.000000000000000
SumatraSurvey10,"31",N22W26,9/18/2007,"0","1",808.000000000000000,4.250051021575928
SumatraSurvey10,"20",N22W27,11/29/2007,"0","1",168.000000000000000,22.219629287719727
SumatraSurvey10,"42",N22W28,1/1/2008,"0","1",1078.000000000000000,3.254347324371338
SumatraSurvey10,"25",N22W29,12/6/2007,"0","1",2173.000000000000000,3.000000000000000
SumatraSurvey10,"44",N22W30,7/24/2007,"1","5",635.000000000000000,3.000025510787964
SumatraSurvey10,"44",N22W30,7/24/2007,"1","6",635.000000000000000,3.000025510787964
SumatraSurvey10,"44",N22W30,7/24/2007,"1","18",635.000000000000000,3.000025510787964
SumatraSurvey10,"44",N22W30,7/24/2007,"1","19",635.000000000000000,3.000025510787964
SumatraSurvey10,"29",N22W31,6/19/2007,"0","1",611.000000000000000,4.250371456146240
SumatraSurvey10,"22",N22W32,1/25/2008,"0","1",388.000000000000000,13.653259277343750
SumatraSurvey10,"46",N23W25,8/10/2008,"0","1",128.000000000000000,15.635626792907715
SumatraSurvey10,"27",N23W26,9/16/2007,"0","1",813.000000000000000,6.253099918365479
SumatraSurvey10,"34",N23W27,11/5/2007,"1","18",1971.000000000000000,5.252151489257813
SumatraSurvey10,"34",N23W27,11/5/2007,"1","19",1971.000000000000000,5.252151489257813
SumatraSurvey10,"37",N23W28,11/5/2007,"1","9",335.000000000000000,15.751332283020020
SumatraSurvey10,"29",N23W29,12/7/2007,"1","3",1425.000000000000000,3.000000000000000
SumatraSurvey10,"29",N23W29,12/7/2007,"1","8",1425.000000000000000,3.000000000000000
