Dem75mInteger_100_no,MinTemp_Jul_100_no,MaxTemp_Jan_100_no,log_vertical_distance_major_streams_sept2012_100_no,wetness_index_saga_sept2012_100_no,Evaporation_Jul_100_no.grd,Evaporation_Jan_100_no.grd,RainDays_Jul_100_no.gri,Rainfall_Jul_100_no.grd,RainDays_Jan_100_no.gri,Rainfall_Jan_100_no.grd,visible_sky_sept2012_100_no
0.637314914,-0.732117734,-0.995397629,1.164772207,-1.952168542,-1.471028372,-1.558451906,1.466594812,2.587842666,0.824092241,0.897440501,-6.80949181
0.022506433,-0.326226581,-1.272281904,0.446859083,-0.643178958,-0.835498404,-1.822351245,1.408056757,1.713529073,1.569308385,1.536917065,-1.14326826
0.695763667,-0.398240093,-1.368863905,1.202563897,-2.794642569,-1.128942694,-1.791508037,1.570967281,2.704641629,1.563566427,1.483429426,-0.663745796
1.042205922,-0.553225093,-1.857379439,1.509975485,-2.744094907,-1.345596336,-1.981166671,1.824776614,2.519058186,1.918020043,1.866572765,-0.897748163
0.074328551,-0.097738392,-1.162241946,0.721250745,-0.755897575,-0.869750909,-1.671911847,1.399516724,2.489218108,1.440081643,1.558764203,-3.239562274
0.988176777,-0.985541448,-1.232241192,0.745774193,0.370587461,-1.479618161,-1.808390258,1.563647596,3.149410305,1.263845553,1.409464806,-4.863900474
0.991985634,-0.271693957,-1.810263559,1.592237969,-2.708150961,-1.260655143,-1.916463059,1.801003823,2.335505947,1.884731172,1.780151736,-0.162259747
1.627523517,-1.143605535,-1.535529144,1.411478068,-2.537505044,-1.6763301,-1.879025587,1.724539254,3.759554447,1.26393224,1.545756817,0.050477544
1.892686083,-1.361320858,-1.711073905,1.546552986,-2.943356836,-1.790553118,-1.972171095,1.718042371,4.034102388,1.457083424,1.677692738,-2.026545748
2.225530827,-1.193218609,-2.249728748,1.770296105,-2.09151284,-1.814041551,-2.162587688,1.93834658,3.660752916,2.139768149,1.992755142,-0.620894554
0.39089959,-0.332140142,-1.512636225,1.100835135,-2.143449579,-1.047628674,-1.860695372,1.590766527,2.225642658,1.698752882,1.684382049,-0.728996477
-0.178538511,0.185305561,-1.08712315,-0.303809056,-1.456273678,-0.51285154,-1.752059307,1.151969942,0.760235362,1.580970027,1.206685721,-1.603682686
1.185647909,-0.677852459,-1.710211025,1.316028749,-1.975199267,-1.294617587,-2.012712103,1.610506442,1.977670971,1.932094038,1.919581738,-2.499095971
0.322989768,-0.558691033,-1.485436731,0.696776118,-1.766390592,-1.051608383,-1.908819561,1.534033778,1.872945197,1.698286217,1.709401772,-2.412233512
